director,genre,gross,name,rating,runtime,score,star,votes,writer
Rob Reiner,Adventure,52287414,Stand by Me,R,89,8.1,Wil Wheaton,299174,Stephen King
John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,103,7.8,Matthew Broderick,264740,John Hughes
Tony Scott,Action,179800601,Top Gun,PG,110,6.9,Tom Cruise,236909,Jim Cash
James Cameron,Action,85160248,Aliens,R,137,8.4,Sigourney Weaver,540152,James Cameron
Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,90,6.9,Joey Cramer,36636,Mark H. Baker
Oliver Stone,Drama,138530565,Platoon,R,120,8.1,Charlie Sheen,317585,Oliver Stone
Jim Henson,Adventure,12729917,Labyrinth,PG,101,7.4,David Bowie,102879,Dennis Lee
David Lynch,Drama,8551228,Blue Velvet,R,120,7.8,Isabella Rossellini,146768,David Lynch
Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,96,6.8,Molly Ringwald,60565,John Hughes
David Cronenberg,Drama,40456565,The Fly,R,96,7.5,Jeff Goldblum,129698,George Langelaan
Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,97,6.5,Paul Hogan,79465,Ken Shadie
Russell Mulcahy,Action,5900000,Highlander,R,116,7.2,Christopher Lambert,104860,Gregory Widen
David Seltzer,Comedy,8200000,Lucas,PG-13,100,6.8,Corey Haim,12228,David Seltzer
John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,99,7.3,Kurt Russell,101678,Gary Goldman
Michael Mann,Crime,8620929,Manhunter,R,120,7.2,William Petersen,54000,Thomas Harris
Adrian Lyne,Drama,6734844,9½ Weeks,R,117,5.9,Mickey Rourke,31798,Elizabeth McNeill
Stephen King,Action,7433663,Maximum Overdrive,R,98,5.4,Emilio Estevez,24881,Stephen King
Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,94,6.9,Rick Moranis,53327,Howard Ashman
Mike Marvin,Action,3500000,The Wraith,PG-13,93,5.9,Charlie Sheen,11635,Mike Marvin
Willard Huyck,Action,16295774,Howard the Duck,PG,110,4.6,Lea Thompson,36020,Steve Gerber
